company,metric_scope,metric_type,value_low_usd_bn,value_high_usd_bn,original_value,original_currency,original_unit,qualifier,as_of_start,as_of_end,date_precision,published_at,source_name,source_url,source_tier,source_type,status,confidence_score,evidence_text,is_official,is_estimate,is_target,content_hash
Anthropic,company,revenue_run_rate,14,,$14 billion,USD,billion,exact,2026-02-12,2026-02-12,day,2026-02-12,Anthropic (Series G announcement),https://www.anthropic.com/news/anthropic-raises-30-billion-series-g-funding-380-billion-post-money-valuation,A,official,confirmed,0.95,"Today, our run-rate revenue is $14 billion, with this figure growing over 10x annually in each of those past three years.",1,0,0,
Anthropic,company,revenue_run_rate,47,,$47 billion,USD,billion,over,2026-05-01,2026-05-28,month_range,2026-05-28,Anthropic (Series H announcement),https://www.anthropic.com/news/series-h,A,official,confirmed,0.9,"Since our Series G in February, adoption has continued to grow across global enterprise customers, and our run-rate revenue crossed $47 billion earlier this month.",1,0,0,
